date,sn,temperature,ph,ammonia,chloride
"2019-04-07 04:00:00",18013581,29.45,6.6,0.01,94.024
"2019-04-07 04:30:00",18013581,29.36,6.81,0.01,92.201
"2019-04-07 05:00:00",18013581,29.24,6.62,0.01,83.482
"2019-04-07 05:30:00",18013581,29.12,6.82,0.01,119.151
"2019-04-07 06:00:00",18013581,29,6.61,0.02,94.225
"2019-04-07 06:30:00",18013581,28.9,6.82,0.01,105.36
"2019-04-07 07:00:00",18013581,28.79,6.63,0.01,86.011
"2019-04-07 07:30:00",18013581,28.67,6.83,0.01,87.116
"2019-04-07 08:00:00",18013581,28.56,6.6,0.02,117.272
"2019-04-07 08:30:00",18013581,28.44,6.82,0.01,85.59
"2019-04-07 09:00:00",18013581,28.33,6.6,0.01,112.114
"2019-04-07 09:30:00",18013581,28.23,6.82,0.01,115.592
"2019-04-07 10:00:00",18013581,28.14,6.61,0.02,118.338
"2019-04-07 10:30:00",18013581,28.08,6.83,0.01,97.211
"2019-04-07 11:00:00",18013581,28.03,6.62,0.01,101.059
"2019-04-07 11:30:00",18013581,28.01,6.83,0.01,91.127
"2019-04-07 12:00:00",18013581,28.01,6.6,0.02,102.433
"2019-04-07 12:30:00",18013581,28.03,6.82,0.01,103.393
"2019-04-07 13:00:00",18013581,28.07,6.63,0.01,109.319
"2019-04-07 13:30:00",18013581,28.12,6.83,0.01,114.425
"2019-04-07 14:00:00",18013581,28.22,6.66,0.02,118.681
"2019-04-07 14:30:00",18013581,28.32,6.85,0.01,81.63
"2019-04-07 15:00:00",18013581,28.46,6.64,0.01,81.075
"2019-04-07 15:30:00",18013581,28.59,6.85,0.01,82.253
"2019-04-07 16:00:00",18013581,28.75,6.66,0.02,83.195
"2019-04-07 16:30:00",18013581,28.93,6.86,0.01,111.114
"2019-04-07 17:00:00",18013581,29.15,6.66,0.01,105.966
"2019-04-07 17:30:00",18013581,29.35,6.86,0.01,95.845
"2019-04-07 18:00:00",18013581,29.58,6.67,0.01,94.449
"2019-04-07 18:30:00",18013581,29.78,6.87,0.01,119.501
"2019-04-07 19:00:00",18013581,29.98,6.68,0.01,93.03
"2019-04-07 19:30:00",18013581,30.13,6.86,0.01,99.321
"2019-04-07 20:00:00",18013581,30.27,6.66,0.02,119.25
"2019-04-07 20:30:00",18013581,30.37,6.85,0.01,108.913
"2019-04-07 21:00:00",18013581,30.46,6.64,0.01,92.326
"2019-04-07 21:30:00",18013581,30.53,6.84,0.01,118.588
"2019-04-07 22:00:00",18013581,30.57,6.64,0.02,83.432
"2019-04-07 22:30:00",18013581,30.6,6.84,0.01,95.312
"2019-04-07 23:00:00",18013581,30.6,6.64,0.01,110.062
"2019-04-07 23:30:00",18013581,30.6,6.83,0.01,101.525
"2019-04-08 00:00:00",18013581,30.57,6.62,0.01,91.141
"2019-04-08 00:30:00",18013581,30.55,6.83,0.01,90.788
"2019-04-08 01:00:00",18013581,30.49,6.63,0.01,89.055
"2019-04-08 01:30:00",18013581,30.45,6.83,0.01,90.741
"2019-04-08 02:00:00",18013581,30.37,6.61,0.01,112.204
"2019-04-08 02:30:00",18013581,30.32,6.84,0.01,106.589
"2019-04-08 03:00:00",18013581,30.23,6.63,0.01,82.092
"2019-04-08 03:30:00",18013581,30.15,6.83,0.01,94.782
"2019-04-08 04:00:00",18013581,30.06,6.64,0.02,98.319
"2019-04-08 04:30:00",18013581,29.98,6.84,0.01,96.571
"2019-04-08 05:00:00",18013581,29.87,6.63,0.01,100.25
"2019-04-08 05:30:00",18013581,29.78,6.84,0.01,109.32
"2019-04-08 06:00:00",18013581,29.67,6.62,0.02,117.692
"2019-04-08 06:30:00",18013581,29.58,6.85,0.01,102.051
"2019-04-08 07:00:00",18013581,29.48,6.63,0.01,97.734
"2019-04-08 07:30:00",18013581,29.39,6.86,0.02,113.424
"2019-04-08 08:00:00",18013581,29.29,6.63,0.02,113.724
"2019-04-08 08:30:00",18013581,29.16,6.86,0.01,116.341
"2019-04-08 09:00:00",18013581,28.58,6.59,0.01,118.875
"2019-04-08 09:30:00",18013581,27.99,6.8,0.01,111.469
"2019-04-08 10:00:00",18013581,27.45,6.54,0.02,81.409
"2019-04-08 10:30:00",18013581,26.99,6.79,0.01,111.785
"2019-04-08 11:00:00",18013581,26.57,6.55,0.02,113.336
"2019-04-08 11:30:00",18013581,26.23,6.78,0.01,93.653
"2019-04-08 12:00:00",18013581,25.91,6.56,0.02,85.93
"2019-04-08 12:30:00",18013581,25.66,6.81,0.01,115.247
"2019-04-08 13:00:00",18013581,25.46,6.57,0.01,109.848
"2019-04-08 13:30:00",18013581,25.32,6.82,0.02,91.038
"2019-04-08 14:00:00",18013581,25.24,6.59,0.02,86.456
"2019-04-08 14:30:00",18013581,25.18,6.83,0.01,87.368
"2019-04-08 15:00:00",18013581,25.16,6.63,0.02,119.643
"2019-04-08 15:30:00",18013581,25.18,6.82,0.01,103.431
"2019-04-08 16:00:00",18013581,25.25,6.62,0.02,97.837
"2019-04-08 16:30:00",18013581,25.33,6.83,0.01,119.645
"2019-04-08 17:00:00",18013581,25.37,6.62,0.01,106.97
"2019-04-08 17:30:00",18013581,25.33,6.83,0.01,88.749
"2019-04-08 18:00:00",18013581,25.42,6.6,0.01,93.903
"2019-04-08 18:30:00",18013581,25.66,6.84,0.01,118.917
"2019-04-08 19:00:00",18013581,25.95,6.65,0.01,103.431
"2019-04-08 19:30:00",18013581,26.23,6.85,0.01,96.153
"2019-04-08 20:00:00",18013581,26.51,6.67,0.01,120.519
"2019-04-08 20:30:00",18013581,26.75,6.86,0.01,85.554
"2019-04-08 21:00:00",18013581,27,6.67,0,83.992
"2019-04-08 21:30:00",18013581,27.21,6.86,0,111.395
"2019-04-08 22:00:00",18013581,27.41,6.68,0.01,99.086
"2019-04-08 22:30:00",18013581,27.57,6.85,0,82.242
"2019-04-08 23:00:00",18013581,27.72,6.66,0,106.811
"2019-04-08 23:30:00",18013581,27.84,6.85,0,101.727
"2019-04-09 00:00:00",18013581,27.95,6.64,0.01,103.919
"2019-04-09 00:30:00",18013581,28.04,6.84,0,113.941
"2019-04-09 01:00:00",18013581,28.11,6.64,0,117.115
"2019-04-09 01:30:00",18013581,28.15,6.84,0,101.604
"2019-04-09 02:00:00",18013581,28.19,6.62,0.01,102.841
"2019-04-09 02:30:00",18013581,28.22,6.83,0,113.185
"2019-04-09 03:00:00",18013581,28.25,6.62,0,94.961
"2019-04-09 03:30:00",18013581,28.26,6.83,0,90.86
"2019-04-09 04:00:00",18013581,28.27,6.65,0.01,109.09
"2019-04-09 04:30:00",18013581,28.27,6.83,0,89.1
"2019-04-09 05:00:00",18013581,28.26,6.63,0,105.211
"2019-04-09 05:30:00",18013581,28.24,6.82,0,87.716
"2019-04-09 06:00:00",18013581,28.23,6.59,0.01,88.131
"2019-04-09 06:30:00",18013581,28.21,6.82,0,93.243
"2019-04-09 07:00:00",18013581,28.18,6.61,0,108.646
"2019-04-09 07:30:00",18013581,28.15,6.81,0,96.649
"2019-04-09 08:00:00",18013581,28.13,6.63,0.01,109.531
"2019-04-09 08:30:00",18013581,27.97,6.83,0,107.187
"2019-04-09 09:00:00",18013581,27.44,6.58,0,115.664
"2019-04-09 09:30:00",18013581,26.98,6.78,0,97.799
"2019-04-09 10:00:00",18013581,29.18,3.74,0,115.332
"2019-04-09 10:30:00",18013581,29.31,3.86,0,112.746
"2019-04-09 11:00:00",18013581,29.35,3.6,0,110.847
"2019-04-09 11:30:00",18013581,29.38,3.8,0,83.454
"2019-04-09 12:00:00",18013581,29.42,3.6,0,111.117
"2019-04-09 12:30:00",18013581,29.43,3.78,0,95.744
"2019-04-09 13:00:00",18013581,29.46,3.6,0,105.747
"2019-04-09 13:30:00",18013581,29.47,3.78,0,116.321
"2019-04-09 14:00:00",18013581,29.51,3.61,0,98.591
"2019-04-09 14:30:00",18013581,29.53,3.8,0,112.076
"2019-04-09 15:00:00",18013581,29.56,3.6,0,99.291
"2019-04-09 15:30:00",18013581,29.6,3.8,0,96.244
"2019-04-09 16:00:00",18013581,29.64,3.65,0,109.656
"2019-04-09 16:30:00",18013581,29.67,3.79,0,106.386
"2019-04-09 17:00:00",18013581,29.65,3.62,0,85.919
"2019-04-09 17:30:00",18013581,29.61,3.8,0,108.737
"2019-04-09 18:00:00",18013581,29.56,3.65,0,85.024
"2019-04-09 18:30:00",18013581,29.53,3.81,0,113.756
"2019-04-09 19:00:00",18013581,29.46,3.63,0,100.588
"2019-04-09 19:30:00",18013581,29.44,3.8,0,102.351
"2019-04-09 20:00:00",18013581,29.38,3.67,0,117.596
"2019-04-09 20:30:00",18013581,29.36,3.81,0,119.028
"2019-04-09 21:00:00",18013581,29.29,3.67,0,105.752
"2019-04-09 21:30:00",18013581,29.28,3.82,0,102.869
"2019-04-09 22:00:00",18013581,29.21,3.67,0,116.576
"2019-04-09 22:30:00",18013581,29.2,3.82,0,85.306
"2019-04-09 23:00:00",18013581,29.14,3.68,0,112.669
"2019-04-09 23:30:00",18013581,29.13,3.83,0,99.033
"2019-04-10 00:00:00",18013581,29.05,3.67,0,117.806
"2019-04-10 00:30:00",18013581,29.05,3.82,0,81.718
"2019-04-10 01:00:00",18013581,28.97,3.69,0,86.988
"2019-04-10 01:30:00",18013581,28.96,3.83,0,115.797
"2019-04-10 02:00:00",18013581,28.9,3.7,0,118.697
"2019-04-10 02:30:00",18013581,28.9,3.82,0,94.651
"2019-04-10 03:00:00",18013581,28.83,3.71,0,93.581
"2019-04-10 03:30:00",18013581,28.83,3.82,0,92.264
"2019-04-10 04:00:00",18013581,28.75,3.71,0,118.585
"2019-04-10 04:30:00",18013581,28.75,3.83,0,85.329
"2019-04-10 05:00:00",18013581,28.67,3.71,0,109.756
"2019-04-10 05:30:00",18013581,28.67,3.83,0,117.798
"2019-04-10 06:00:00",18013581,28.6,3.73,0,98.226
"2019-04-10 06:30:00",18013581,28.59,3.84,0,112.977
"2019-04-10 07:00:00",18013581,28.51,3.75,0,87.229
"2019-04-10 07:30:00",18013581,28.52,3.85,0,99.157
"2019-04-10 08:00:00",18013581,28.42,3.72,0,100.139
"2019-04-10 08:30:00",18013581,28.43,3.84,0,89.248
"2019-04-10 09:00:00",18013581,28.37,3.74,0,87.365
"2019-04-10 09:30:00",18013581,28.41,3.85,0,109.761
"2019-04-10 10:00:00",18013581,28.41,3.77,0,107.173
"2019-04-12 13:00:00",18013581,28.26,3.86,0,89.718
"2019-04-12 13:30:00",18013581,28.29,3.91,0,119.2
"2019-04-12 14:00:00",18013581,28.35,3.86,0,116.942
"2019-04-12 14:30:00",18013581,28.39,3.9,0,81.159
"2019-04-12 15:00:00",18013581,28.44,3.84,0,84.555
"2019-04-12 15:30:00",18013581,28.47,3.89,0,99.267
"2019-04-12 16:00:00",18013581,28.48,3.87,0,108.822
"2019-04-12 16:30:00",18013581,28.46,3.9,0,90.154
"2019-04-12 17:00:00",18013581,28.44,3.85,0,93.7
